"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"1281";"5";"1"
"1284";"5";"1"
"1287";"5";"1"
"1290";"6";"0"
"1293";"6";"0"
"1296";"4";"2"
"1299";"5";"1"
"1302";"4";"2"
"1305";"6";"0"
"1308";"5";"1"
"1311";"5";"1"
"1314";"5";"1"
"1317";"5";"1"
"1320";"5";"0"
"1323";"5";"0"
"1326";"4";"1"
"1329";"5";"0"
"1332";"5";"0"
"1335";"5";"0"
"1338";"5";"0"
"1341";"5";"0"
"1344";"5";"0"
"1347";"5";"0"
"1350";"4";"2"
"1353";"5";"1"
"1356";"4";"2"
"1359";"4";"2"
"1362";"4";"2"
"1365";"4";"2"
"1368";"4";"2"
"1371";"4";"2"
"1374";"4";"2"
"1377";"4";"2"
"1380";"4";"3"
"1383";"6";"1"
"1386";"6";"2"
"1389";"6";"1"
"1392";"6";"0"
"1395";"6";"1"
"1398";"6";"0"
"1401";"6";"1"
"1404";"6";"0"
"1407";"6";"1"
"1410";"6";"0"
"1413";"6";"0"
"1416";"6";"0"
"1419";"6";"0"
"1422";"6";"0"
"1425";"5";"1"
"1428";"5";"1"
"1431";"5";"1"
"1434";"5";"1"
"1437";"5";"1"
"1440";"4";"2"
"1443";"3";"3"
"1446";"3";"3"
"1449";"3";"3"
"1452";"1";"5"
"1455";"0";"6"
"1458";"0";"8"
"1461";"0";"7"
"1464";"0";"8"
"1467";"2";"6"
"1470";"1";"7"
"1473";"0";"12"
"1476";"0";"14"
"1479";"0";"13"
"1482";"0";"15"
"1485";"0";"15"
"1488";"0";"17"
"1491";"0";"17"
"1494";"0";"17"
"1497";"4";"13"
"1500";"3";"13"
"1503";"2";"14"
"1506";"1";"16"
"1509";"1";"15"
"1512";"3";"13"
"1515";"1";"14"
"1518";"2";"13"
"1521";"2";"15"
"1524";"2";"18"
"1527";"0";"18"
"1530";"0";"17"
"1533";"0";"14"
"1536";"0";"16"
"1539";"2";"14"
"1542";"3";"13"
"1545";"0";"17"
"1548";"4";"13"
"1551";"1";"15"
"1554";"0";"16"
"1557";"1";"15"
"1560";"0";"17"
"1563";"0";"15"
8";"0";"14"
"1531";"0";"16"
"1534";"2";"14"
"1537";"2";"15"
"1540";"0";"14"
"1543";"0";"15"
"1546";"1";"14"
"1549";"0";"16"
"1552";"2";"14"
"1555";"2";"16"
"1558";"2";"16"
"1561";"1";"17"
"1564";"0";"16"
"1567";"1";"15"
"1570";"1";"16"
";"10"
"1553";"9";"8"
"1556";"9";"7"
"1559";"8";"10"
"1562";"7";"13"
"1565";"7";"14"
"1568";"7";"16"
"1571";"3";"19"
