"frameCount";"StaticqueueDensity";"currentNoOfBlobs"
"470";"14";"3"
"471";"15";"0"
"472";"13";"2"
"473";"14";"1"
"474";"15";"0"
"475";"14";"1"
"476";"14";"1"
"477";"15";"0"
"478";"14";"1"
"479";"14";"1"
"480";"15";"0"
"481";"14";"1"
"482";"14";"1"
"483";"15";"0"
"484";"15";"0"
"485";"15";"0"
"486";"15";"0"
"487";"15";"0"
"488";"15";"0"
"489";"15";"0"
"490";"15";"0"
"491";"15";"0"
"492";"15";"0"
"493";"15";"0"
"494";"15";"0"
"495";"15";"0"
"496";"15";"0"
"497";"15";"0"
"498";"15";"0"
"499";"15";"0"
"500";"15";"0"
"501";"15";"0"
"502";"15";"0"
"503";"15";"0"
"504";"15";"0"
"505";"15";"1"
"506";"15";"1"
"507";"15";"1"
"508";"15";"1"
"509";"15";"1"
"510";"15";"1"
"511";"15";"1"
"512";"15";"1"
"513";"15";"1"
"514";"15";"1"
"515";"14";"1"
"516";"14";"1"
"517";"14";"1"
"518";"14";"2"
"519";"15";"1"
"520";"14";"1"
"521";"14";"2"
"522";"14";"2"
"523";"14";"1"
"524";"14";"2"
"525";"14";"1"
"526";"14";"1"
"527";"14";"2"
"528";"13";"2"
"529";"13";"2"
"530";"13";"2"
"531";"13";"1"
"532";"13";"2"
"533";"13";"1"
"534";"12";"2"
"535";"12";"2"
"536";"13";"1"
"537";"13";"1"
"538";"11";"3"
"539";"12";"2"
"540";"13";"1"
"541";"12";"2"
"542";"10";"4"
"543";"12";"2"
"544";"12";"2"
"545";"12";"2"
"546";"14";"0"
"547";"12";"2"
"548";"12";"2"
"549";"14";"0"
"550";"12";"2"
"551";"12";"2"
"552";"13";"1"
"553";"12";"2"
"554";"12";"2"
"555";"14";"0"
"556";"13";"1"
"557";"13";"1"
"558";"14";"0"
"559";"12";"2"
"560";"12";"2"
"561";"14";"0"
"562";"14";"0"
"563";"14";"0"
"564";"14";"0"
"565";"14";"0"
"566";"14";"0"
"567";"14";"0"
"568";"14";"0"
"569";"14";"0"
"570";"14";"0"
"571";"14";"0"
"572";"14";"0"
"573";"14";"0"
"574";"14";"0"
"575";"14";"0"
"576";"14";"0"
"577";"14";"1"
"578";"14";"1"
"579";"14";"0"
"580";"14";"0"
"581";"14";"0"
"582";"14";"0"
"583";"14";"1"
"584";"14";"1"
"585";"14";"0"
"586";"14";"1"
"587";"14";"0"
"588";"14";"0"
"589";"14";"0"
"590";"14";"0"
"591";"14";"0"
"592";"14";"1"
"593";"14";"2"
"594";"14";"0"
"595";"14";"1"
"596";"14";"1"
"597";"14";"0"
"598";"14";"1"
"599";"14";"0"
"600";"14";"0"
"601";"14";"0"
"602";"14";"0"
"603";"14";"0"
"604";"14";"0"
"605";"14";"0"
"606";"14";"0"
"607";"14";"0"
"608";"14";"0"
"609";"14";"0"
"610";"14";"1"
"611";"14";"1"
"612";"14";"0"
"613";"13";"1"
"614";"14";"0"
"615";"14";"0"
"616";"14";"1"
"617";"13";"1"
"618";"14";"0"
"619";"13";"2"
"620";"13";"1"
"621";"14";"0"
"622";"14";"0"
"623";"14";"0"
"624";"14";"0"
"625";"14";"0"
"626";"14";"0"
"627";"14";"0"
"628";"14";"0"
"629";"14";"1"
"630";"14";"0"
"631";"14";"0"
"632";"14";"0"
"633";"14";"0"
"634";"14";"1"
"635";"14";"0"
"636";"14";"0"
"637";"14";"0"
"638";"14";"1"
"639";"14";"0"
"640";"14";"0"
"641";"14";"0"
"642";"14";"0"
"643";"14";"0"
"644";"13";"2"
"645";"15";"0"
"646";"15";"0"
"647";"15";"1"
"648";"15";"0"
"649";"15";"0"
"650";"15";"0"
"651";"15";"0"
"652";"15";"0"
"653";"15";"0"
"654";"15";"0"
"655";"15";"0"
"656";"15";"0"
"657";"15";"0"
"658";"15";"0"
"659";"15";"0"
"660";"15";"0"
"661";"15";"0"
"662";"15";"0"
"663";"15";"0"
"664";"15";"0"
"665";"15";"0"
"666";"15";"0"
"667";"15";"0"
"668";"15";"0"
"669";"15";"0"
"670";"15";"0"
"671";"15";"0"
"672";"15";"0"
"673";"15";"0"
"674";"15";"0"
"675";"15";"0"
"676";"15";"0"
"677";"15";"0"
"678";"15";"0"
"679";"15";"0"
"680";"15";"0"
"681";"15";"0"
"682";"15";"0"
"683";"15";"0"
"684";"15";"0"
"685";"15";"0"
"686";"15";"0"
"687";"15";"0"
"688";"15";"0"
